transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T00058,U051,2023-12-15,Expense,Health,4635.0,Bank Transfer,Unknown,
T00059,U079,2024-01-15,Expense,Food,6863.0,Other,Unknown,
T00060,U027,2024-02-15,Expense,Food,4103.0,Other,Bangalore,
T00061,U062,2024-02-15,Income,Salary,49068.0,Cash,Mumbai,
T00062,U125,2024-03-15,Expense,Food,1048.0,Card,Bangalore,
T00063,U139,2024-03-15,Expense,Travel,8514.0,Card,Bangalore,
T00064,U134,2024-04-15,Expense,Food,3907.0,Card,Hyderabad,
T00065,U125,2024-04-15,Income,Salary,79454.0,Cash,Unknown,
T00066,U063,2024-05-15,Expense,Travel,6871.0,UPI,Lucknow,
T00067,U133,2024-05-15,Expense,Travel,8174.0,Cash,Ahmedabad,
T00068,U133,2024-05-15,Expense,Food,1413.0,Card,Jaipur,
T00069,U064,2024-06-15,Expense,Travel,5247.0,Card,Kolkata,
T00070,U060,2024-07-15,Expense,Utilities,8396.0,Card,Chennai,
T00071,U043,2024-07-15,Income,Freelance,25294.0,Cash,Chennai,
T00072,U136,2024-07-15,Income,Investment,37897.0,Bank Transfer,Bangalore,
T00073,U081,2024-08-15,Expense,Education,295.0,Cash,Hyderabad,
T00074,U081,2024-09-15,Expense,Rent,8336.0,Other,Bangalore,
T00075,U057,2024-11-15,Expense,Food,1809.0,Cash,Bangalore,
T00076,U050,2024-11-15,Expense,Education,8805.0,Other,Bangalore,
T00077,U026,2024-11-15,Expense,Health,1966.0,Cash,Delhi,
T00078,U015,2024-11-15,Expense,Rent,6258.0,UPI,Unknown,
T00079,U107,2024-11-15,Expense,Rent,36001.0,Card,Kolkata,
T00080,U113,2024-11-15,Expense,Food,920.0,Other,Hyderabad,
T00081,U026,2024-12-15,Expense,Education,252.0,Cash,Chennai,
T00082,U046,2024-12-15,Expense,Health,1122.0,UPI,Mumbai,
T00083,U150,2021-01-15,Expense,Food,6365.0,UPI,Jaipur,
T00084,U088,2021-01-15,Income,Others,65556.0,UPI,Pune,
T00085,U087,2021-04-15,Expense,Utilities,3003.0,Cash,Lucknow,
T00086,U049,2021-04-15,Income,Freelance,72108.0,UPI,Pune,
T00087,U087,2021-06-15,Expense,Utilities,4821.0,Card,Ahmedabad,
T00088,U118,2021-06-15,Expense,Savings,5452.0,Other,Kolkata,
T00089,U124,2021-06-15,Expense,Rent,2594.0,UPI,Jaipur,
T00090,U006,2021-09-15,Expense,Food,1012.0,Card,Bangalore,
T00091,U032,2021-09-15,Expense,Health,7918.0,Card,Hyderabad,
T00092,U003,2021-10-15,Expense,Others,4410.0,Other,Delhi,
T00093,U139,2021-11-15,Expense,Entertainment,377.0,Cash,Chennai,
T00094,U147,2021-11-15,Expense,Health,8193.0,Bank Transfer,Bangalore,
T00095,U110,2021-12-15,Income,Investment,56818.0,Bank Transfer,Hyderabad,
T00096,U083,2021-12-15,Income,Investment,71558.0,UPI,Chennai,
T00097,U125,2022-01-15,Expense,Food,4750.0,Card,Chennai,
T00098,U004,2022-01-15,Expense,Rent,5654.0,UPI,Hyderabad,
T00099,U079,2022-02-15,Expense,Traval,1735.0,Bank Transfer,Ahmedabad,
T00100,U138,2022-03-15,Income,Others,71489.0,Cash,Lucknow,
T00101,U090,2022-03-15,Expense,Rent,724.0,Bank Transfer,Chennai,
T00102,U005,2022-04-15,Expense,Travel,4373.0,UPI,Ahmedabad,
T00103,U036,2022-05-15,Expense,Entrtnmnt,9589.0,Other,Chennai,
T00104,U130,2022-05-15,Expense,Savings,8005.0,Other,Kolkata,
T00105,U117,2022-05-15,Expense,Entrtnmnt,6817.0,Cash,Jaipur,
T00106,U008,2022-06-15,Expense,Food,4693.0,UPI,Ahmedabad,
T00107,U127,2022-06-15,Expense,Utilities,9771.0,UPI,Chennai,
T00108,U124,2022-06-15,Expense,Education,8199.0,Cash,Jaipur,
T00109,U075,2022-06-15,Expense,Entrtnmnt,775.0,Card,Pune,
T00110,U013,2022-07-15,Expense,Rent,7154.0,Bank Transfer,Chennai,
T00111,U122,2022-07-15,Income,Bonus,13927.0,Card,Ahmedabad,
T00112,U093,2022-08-15,Expense,Traval,3904.0,UPI,Kolkata,
T00113,U111,2022-09-15,Expense,Education,1941.0,UPI,Bangalore,
T00114,U061,2022-11-15,Expense,Food,7063.0,Card,Unknown,
T00115,U097,2022-11-15,Expense,Food,175.0,Bank Transfer,Chennai,
T00116,U094,2022-11-15,Expense,Education,9892.0,Card,Unknown,
T00117,U061,2022-11-15,Expense,Foodd,4312.0,Card,Chennai,
T00118,U058,2022-11-15,Expense,Travel,5094.0,Cash,Bangalore,
T00119,U033,2022-12-15,Expense,Food,3573.0,Other,Bangalore,
T00120,U112,2022-12-15,Expense,Health,5150.0,UPI,Bangalore,
T00121,U119,2023-01-15,Expense,Travel,3999.0,Card,Kolkata,
T00122,U068,2023-02-15,Expense,Rent,10099.0,Other,Chennai,
T00123,U063,2023-03-15,Income,Investment,52187.0,Card,Hyderabad,
T00124,U109,2023-03-15,Expense,Utilities,1859.0,Bank Transfer,Mumbai,
T00125,U129,2023-04-15,Expense,Other,1220.0,Cash,Pune,
T00126,U029,2023-04-15,Expense,Health,2659.0,UPI,Bangalore,
T00127,U141,2023-04-15,Expense,Entrtnmnt,4253.0,Card,Hyderabad,
T00128,U080,2023-04-15,Expense,Entertainment,1733.0,Other,Bangalore,
T00129,U062,2023-04-15,Expense,Education,9076.0,Cash,Chennai,
T00130,U118,2023-04-15,Expense,Food,4009.0,Bank Transfer,Unknown,
T00131,U070,2023-05-15,Expense,Rent,15842.0,Cash,Unknown,
T00132,U089,2023-05-15,Expense,Foodd,4359.0,UPI,Pune,
T00133,U001,2023-05-15,Income,Investment,54572.0,Bank Transfer,Hyderabad,
T00134,U140,2023-06-15,Expense,Saving,500.0,Cash,Pune,
T00135,U033,2023-08-15,Expense,Rent,46947.0,Card,Chennai,
T00136,U136,2023-08-15,Expense,Others,4349.0,Cash,Bangalore,
T00137,U081,2023-09-15,Expense,Utilities,5085.0,Cash,Lucknow,
T00138,U110,2023-09-15,Expense,Utilities,6850.0,Bank Transfer,Unknown,
T00139,U018,2023-10-15,Expense,Food,9131.0,Other,Chennai,
T00140,U022,2023-11-15,Expense,Food,3203.0,Card,Lucknow,
T00141,U144,2023-11-15,Expense,Travel,6273.0,Cash,Kolkata,
T00142,U116,2023-12-15,Expense,Food,1631.0,UPI,Hyderabad,
T00143,U053,2023-12-15,Expense,Rent,41360.0,Card,Unknown,
T00144,U127,2024-01-15,Expense,Utilities,3348.0,Bank Transfer,Lucknow,
T00145,U133,2024-01-15,Expense,Education,2325.0,UPI,Mumbai,
T00146,U066,2024-02-15,Expense,Health,676.0,Other,Kolkata,
T00147,U080,2024-03-15,Expense,Savings,7688.0,UPI,Unknown,
T00148,U104,2024-04-15,Expense,Travel,9238.0,Cash,Mumbai,
T00149,U147,2024-04-15,Expense,Saving,1443.0,Card,Lucknow,
T00150,U146,2024-06-15,Expense,Rent,18922.0,Bank Transfer,Pune,
T00151,U109,2024-06-15,Expense,Entertainment,8849.0,Other,Unknown,
T00152,U030,2024-06-15,Expense,Entrtnmnt,9883.0,Cash,Chennai,
T00153,U119,2024-06-15,Expense,Education,3150.0,Other,Ahmedabad,
T00154,U134,2024-07-15,Expense,Utilities,4096.0,Other,Pune,
T00155,U065,2024-09-15,Expense,Rent,4649.0,Other,Mumbai,
T00156,U026,2024-09-15,Expense,Utilities,5919.0,Card,Mumbai,
T00157,U029,2024-09-15,Expense,Travel,7003.0,UPI,Delhi,
T00158,U103,2024-09-15,Expense,Health,9538.0,Other,Pune,
T00159,U114,2024-09-15,Expense,Rent,8324.0,Cash,Chennai,
T00160,U046,2024-09-15,Expense,Travel,7550.0,UPI,Hyderabad,
T00161,U114,2024-09-15,Expense,Others,9135.0,Card,Bangalore,
T00162,U074,2024-10-15,Expense,Utilities,5727.0,UPI,Mumbai,
T00163,U088,2024-11-15,Expense,Rent,6081.0,Card,Hyderabad,
T00164,U071,2024-11-15,Expense,Education,4778.0,Card,Pune,
T00165,U128,2024-11-15,Expense,Utilities,9866.0,Card,Ahmedabad,
T00166,U087,2024-12-15,Expense,Traval,1000.0,Cash,Lucknow,
T00167,U012,2024-12-15,Expense,Food,1056.0,Other,Chennai,
T00168,U093,2021-01-15,Expense,Utilities,8780.0,Card,Chennai,
T00169,U052,2021-02-15,Expense,Education,3995.0,Card,Kolkata,
T00170,U136,2021-03-15,Expense,Travel,742.0,UPI,Kolkata,
T00171,U076,2021-03-15,Expense,Education,1900.0,UPI,Kolkata,
T00172,U028,2021-06-15,Expense,Rent,42507.0,Other,Lucknow,
T00173,U094,2021-06-15,Expense,Traval,313.0,Cash,Hyderabad,
T00174,U001,2021-06-15,Expense,Food,3829.0,Bank Transfer,Lucknow,
T00175,U083,2021-07-15,Expense,Entertainment,4439.0,UPI,Ahmedabad,
T00176,U036,2021-09-15,Expense,Food,2978.0,Card,Pune,
T00177,U071,2021-11-15,Expense,Travel,2586.0,Other,Jaipur,
T00178,U032,2021-12-15,Expense,Food,169.0,Card,Unknown,
T00179,U127,2022-02-15,Income,Investment,11162.0,Other,Mumbai,
T00180,U073,2022-03-15,Expense,Education,2838.0,Cash,Lucknow,
T00181,U049,2022-03-15,Expense,Food,3207.0,Other,Delhi,
T00182,U043,2022-03-15,Expense,Education,6239.0,Cash,Hyderabad,
T00183,U089,2022-03-15,Expense,Rent,5996.0,Card,Jaipur,
T00184,U126,2022-04-15,Expense,Travel,9508.0,Bank Transfer,Kolkata,
T00185,U067,2022-04-15,Expense,Food,8157.0,UPI,Pune,
T00186,U018,2022-04-15,Expense,Travel,5434.0,Bank Transfer,Chennai,
T00187,U011,2022-06-15,Expense,Education,2979.0,Card,Jaipur,
T00188,U142,2022-06-15,Expense,Food,1258.0,Other,Hyderabad,
T00189,U043,2022-06-15,Expense,Other,9767.0,Cash,Bangalore,
T00190,U058,2022-06-15,Expense,Other,2798.0,Cash,Unknown,
T00191,U065,2022-07-15,Expense,Entertainment,5784.0,Card,Pune,
T00192,U034,2022-07-15,Expense,Food,4026.0,UPI,Pune,
T00193,U058,2022-08-15,Expense,Food,2075.0,Card,Chennai,
T00194,U060,2022-08-15,Income,Other,56536.0,Cash,Pune,
T00195,U047,2022-10-15,Expense,Health,9087.0,Card,Delhi,
T00196,U113,2022-10-15,Expense,Utilities,2121.0,Card,Mumbai,
T00197,U086,2022-11-15,Income,Freelance,54627.0,Card,Hyderabad,
T00198,U122,2022-12-15,Income,Bonus,436526.0,Cash,Kolkata,
T00199,U109,2022-12-15,Expense,Entertainment,3946.0,UPI,Kolkata,
T00200,U119,2022-12-15,Income,Salary,79336.0,Cash,Lucknow,
T00201,U078,2023-01-15,Expense,Entrtnmnt,7824.0,Other,Jaipur,
T00202,U060,2023-01-15,Expense,Entertainment,1550.0,Bank Transfer,Lucknow,
T00203,U091,2023-01-15,Expense,Food,1986.0,Bank Transfer,Unknown,
T00204,U136,2023-02-15,Expense,Savings,2572.0,Bank Transfer,Delhi,
T00205,U074,2023-03-15,Expense,Utilities,9361.0,UPI,Lucknow,
T00206,U024,2023-03-15,Expense,Food,3914.0,UPI,Kolkata,
T00207,U088,2023-03-15,Expense,Food,7880.0,Other,Kolkata,
T00208,U063,2023-03-15,Expense,Rent,1974.0,Card,Kolkata,
T00209,U008,2023-03-15,Expense,Health,5749.0,UPI,Lucknow,
T00210,U120,2023-04-15,Expense,Rent,9342.0,Cash,Lucknow,
T00211,U101,2023-05-15,Expense,Food,1597.0,UPI,Ahmedabad,
T00212,U001,2023-05-15,Income,Investment,57294.0,Cash,Mumbai,
T00213,U021,2023-05-15,Expense,Rent,2278.0,Bank Transfer,Delhi,
T00214,U022,2023-05-15,Expense,Rent,45251.0,Card,Ahmedabad,
T00215,U060,2023-06-15,Expense,Food,8751.0,Cash,Ahmedabad,
T00216,U059,2023-06-15,Expense,Travel,4184.0,Cash,Bangalore,
T00217,U123,2023-07-15,Expense,Savings,9682.0,UPI,Lucknow,
T00218,U063,2023-08-15,Income,Investment,13404.0,Card,Lucknow,
T00219,U092,2023-08-15,Expense,Rent,987.0,UPI,Hyderabad,
T00220,U035,2023-09-15,Expense,Entertainment,3619.0,UPI,Bangalore,
T00221,U010,2023-09-15,Income,Bonus,41293.0,Card,Delhi,
T00222,U048,2023-10-15,Income,Bonus,17159.0,Card,Kolkata,
T00223,U098,2023-10-15,Expense,Rent,2146.0,Cash,Chennai,
T00224,U102,2023-10-15,Expense,Travel,3352.0,UPI,Bangalore,
T00225,U086,2023-11-15,Expense,Rent,15193.0,Card,Pune,
T00226,U042,2023-12-15,Expense,Rent,24451.0,Bank Transfer,Hyderabad,
T00227,U005,2024-01-15,Expense,Utilities,3397.0,UPI,Ahmedabad,
T00228,U033,2024-01-15,Income,Bonus,77669.0,Other,Mumbai,
T00229,U110,2024-01-15,Income,Salary,13611.0,Card,Delhi,
T00230,U086,2024-03-15,Expense,Entertainment,2157.0,Card,Jaipur,
T00231,U025,2024-03-15,Expense,Food,4739.0,Card,Kolkata,
T00232,U144,2024-05-15,Expense,Entertainment,6829.0,Card,Pune,
T00233,U137,2024-05-15,Expense,Food,7956.0,Cash,Pune,
T00234,U132,2024-05-15,Expense,Utilities,7693.0,Card,Unknown,
T00235,U121,2024-05-15,Expense,Entertainment,1006.0,UPI,Hyderabad,
T00236,U080,2024-05-15,Expense,Utilities,8439.0,Card,Ahmedabad,
T00237,U139,2024-05-15,Expense,Travel,3815.0,Bank Transfer,Hyderabad,
T00238,U146,2024-05-15,Expense,Food,1495.0,Other,Ahmedabad,
T00239,U124,2024-06-15,Expense,Other,1623.0,Other,Chennai,
T00240,U075,2024-06-15,Expense,Travel,3144.0,Cash,Hyderabad,
T00241,U147,2024-07-15,Income,Others,24470.0,Card,Bangalore,
T00242,U020,2024-07-15,Expense,Travel,6903.0,Cash,Kolkata,
T00243,U118,2024-07-15,Expense,Traval,134.0,Bank Transfer,Jaipur,
T00244,U089,2024-07-15,Expense,Utilities,3178.0,Other,Chennai,
T00245,U073,2024-08-15,Income,Investment,61592.0,UPI,Unknown,
T00246,U040,2024-08-15,Income,Others,41460.0,UPI,Delhi,
T00247,U100,2024-08-15,Expense,Rent,2994.0,Card,Jaipur,
T00248,U086,2024-08-15,Expense,Other,2791.0,UPI,Delhi,
T00249,U106,2024-09-15,Expense,Education,1818.0,Cash,Chennai,
T00250,U065,2024-09-15,Expense,Food,6002.0,Card,Chennai,
T00251,U009,2024-10-15,Expense,Food,6437.0,UPI,Hyderabad,
T00252,U100,2024-10-15,Expense,Food,4991.0,Bank Transfer,Bangalore,
T00253,U067,2024-10-15,Expense,Traval,3057.0,Cash,Delhi,
T00254,U020,2024-11-15,Income,Others,20533.0,Bank Transfer,Kolkata,
T00255,U049,2024-12-15,Expense,Food,7717.0,Other,Lucknow,
T00256,U010,2024-12-15,Expense,Food,6010.0,Other,Lucknow,
T00257,U068,2024-12-15,Income,Bonus,25582.0,Bank Transfer,Lucknow,
T00258,U098,2021-01-15,Expense,Food,2939.0,Other,Mumbai,
T00259,U108,2021-01-15,Expense,Education,8564.0,UPI,Mumbai,
T00260,U090,2021-01-15,Expense,Entrtnmnt,9914.0,UPI,Ahmedabad,
T00261,U006,2021-01-15,Expense,Entertainment,2668.0,Other,Jaipur,
T00262,U093,2021-01-15,Income,Investment,79465.0,Cash,Jaipur,
T00263,U051,2021-01-15,Income,Bonus,14500.0,UPI,Unknown,
T00264,U139,2021-02-15,Expense,Travel,2391.0,Card,Bangalore,
T00265,U141,2021-02-15,Expense,Entertainment,3180.0,Cash,Delhi,
T00266,U150,2021-03-15,Expense,Education,5305.0,Bank Transfer,Chennai,
T00267,U004,2021-05-15,Income,Others,67081.0,Card,Mumbai,
T00268,U113,2021-05-15,Expense,Food,4302.0,Card,Kolkata,
T00269,U131,2021-06-15,Expense,Rent,23537.0,Cash,Delhi,
T00270,U113,2021-06-15,Expense,Saving,5377.0,Cash,Chennai,
T00271,U033,2021-06-15,Expense,Traval,1512.0,Card,Kolkata,
T00272,U145,2021-06-15,Expense,Utilities,4923.0,Cash,Bangalore,
T00273,U073,2021-06-15,Expense,Rent,37667.0,Card,Lucknow,
T00274,U091,2021-08-15,Expense,Utilities,8704.0,UPI,Lucknow,
T00275,U118,2021-09-15,Expense,Food,1044.0,UPI,Lucknow,
T00276,U090,2021-09-15,Expense,Foodd,415.0,Bank Transfer,Ahmedabad,
T00277,U037,2021-10-15,Expense,Food,3642.0,Card,Lucknow,
T00278,U066,2021-11-15,Expense,Food,5795.0,UPI,Kolkata,
T00279,U075,2021-12-15,Expense,Food,9760.0,Card,Ahmedabad,
T00280,U139,2021-12-15,Expense,Travel,2408.0,UPI,Ahmedabad,
T00281,U010,2022-02-15,Expense,Education,3276.0,Cash,Mumbai,
T00282,U124,2022-02-15,Expense,Rent,10800.0,Cash,Pune,
T00283,U064,2022-02-15,Expense,Utilities,1041.0,Cash,Delhi,
T00284,U001,2022-02-15,Expense,Food,3122.0,UPI,Bangalore,
T00285,U056,2022-03-15,Expense,Entrtnmnt,9044.0,Card,Hyderabad,
T00286,U142,2022-04-15,Expense,Rent,9438.0,UPI,Hyderabad,
T00287,U080,2022-04-15,Expense,Travel,4005.0,Cash,Jaipur,
T00288,U063,2022-04-15,Expense,Travel,1783.0,Bank Transfer,Kolkata,
T00289,U005,2022-05-15,Income,Investment,73065.0,UPI,Unknown,
T00290,U062,2022-05-15,Expense,Food,5439.0,UPI,Bangalore,
T00291,U149,2022-05-15,Expense,Travel,3433.0,Cash,Bangalore,
T00292,U092,2022-06-15,Expense,Rent,29728.0,Card,Chennai,
T00293,U053,2022-06-15,Income,Investment,76282.0,UPI,Mumbai,
T00294,U100,2022-08-15,Expense,Health,9361.0,Other,Pune,
T00295,U114,2022-08-15,Expense,Travel,7668.0,Bank Transfer,Pune,
T00296,U055,2022-10-15,Expense,Food,1617.0,Cash,Unknown,
T00297,U118,2022-10-15,Expense,Rent,5540.0,Cash,Hyderabad,
T00298,U023,2022-10-15,Expense,Traval,1547.0,Bank Transfer,Lucknow,
T00299,U148,2022-10-15,Expense,Utilities,1259.0,UPI,Hyderabad,
T00300,U019,2022-11-15,Income,Investment,12733.0,Cash,Pune,
T00301,U143,2022-12-15,Expense,Utilities,4890.0,Other,Mumbai,
T00302,U135,2022-12-15,Expense,Utilities,6521.0,Other,Kolkata,
T00303,U035,2022-12-15,Expense,Rent,2896.0,UPI,Lucknow,
T00304,U054,2023-01-15,Expense,Food,2238.0,Cash,Kolkata,
T00305,U110,2023-01-15,Expense,Education,9705.0,UPI,Lucknow,
T00306,U150,2023-01-15,Income,Others,70359.0,Cash,Pune,
T00307,U057,2023-01-15,Expense,Entertainment,4528.0,Other,Ahmedabad,
T00308,U012,2023-02-15,Expense,Foodd,3460.0,UPI,Hyderabad,
T00309,U102,2023-02-15,Expense,Travel,4330.0,Bank Transfer,Ahmedabad,
T00310,U048,2023-02-15,Expense,Utilities,3006.0,Card,Pune,
T00311,U098,2023-02-15,Expense,Food,2759.0,UPI,Unknown,
T00312,U137,2023-04-15,Expense,Education,7485.0,Cash,Delhi,
T00313,U042,2023-04-15,Expense,Rent,1765.0,UPI,Delhi,
T00314,U106,2023-05-15,Expense,Travel,6116.0,UPI,Chennai,
T00315,U086,2023-05-15,Expense,Rent,24628.0,Cash,Mumbai,
T00316,U104,2023-05-15,Expense,Rent,1034.0,Bank Transfer,Chennai,
T00317,U049,2023-05-15,Expense,Food,3678.0,Cash,Delhi,
T00318,U005,2023-06-15,Expense,Food,2955.0,Other,Chennai,
T00319,U028,2023-07-15,Expense,Traval,342.0,Cash,Chennai,
T00320,U066,2023-08-15,Expense,Education,8589.0,Cash,Unknown,
T00321,U124,2023-08-15,Income,Investment,76991.0,Other,Chennai,
T00322,U122,2023-09-15,Expense,Education,9349.0,Other,Unknown,
T00323,U128,2023-09-15,Expense,Utilities,2419.0,Cash,Lucknow,
T00324,U037,2023-09-15,Expense,Traval,5649.0,Bank Transfer,Jaipur,
T00325,U022,2023-11-15,Income,Others,59543.0,UPI,Lucknow,
T00326,U114,2023-12-15,Expense,Health,1794.0,UPI,Kolkata,
T00327,U071,2023-12-15,Expense,Health,6854.0,UPI,Lucknow,
T00328,U149,2024-01-15,Expense,Travel,6806.0,Card,Ahmedabad,
T00329,U022,2024-01-15,Expense,Education,3110.0,Bank Transfer,Chennai,
T00330,U025,2024-01-15,Expense,Food,8523.0,UPI,Chennai,
T00331,U123,2024-02-15,Income,Bonus,35494.0,Cash,Lucknow,
T00332,U024,2024-03-15,Expense,Food,4616.0,UPI,Delhi,
T00333,U041,2024-03-15,Expense,Rent,7649.0,UPI,Pune,
T00334,U065,2024-03-15,Expense,Travel,7119.0,UPI,Unknown,
T00335,U097,2024-04-15,Expense,Education,2511.0,Card,Bangalore,
T00336,U015,2024-04-15,Expense,Rent,4983.0,UPI,Kolkata,
T00337,U053,2024-05-15,Expense,Food,7251.0,UPI,Delhi,
T00338,U024,2024-05-15,Income,Freelance,709506.0,Card,Jaipur,
T00339,U043,2024-05-15,Expense,Utilities,2290.0,UPI,Ahmedabad,
T00340,U132,2024-05-15,Expense,Rent,5918.0,Cash,Jaipur,
T00341,U028,2024-06-15,Expense,Travel,2083.0,Bank Transfer,Lucknow,
T00342,U082,2024-06-15,Expense,Utilities,5012.0,Other,Pune,
T00343,U020,2024-06-15,Expense,Entertainment,2987.0,Cash,Lucknow,
T00344,U117,2024-06-15,Expense,Rent,21746.0,Bank Transfer,Ahmedabad,
T00345,U135,2024-06-15,Expense,Rent,3914.0,Bank Transfer,Bangalore,
T00346,U039,2024-07-15,Income,Bonus,37025.0,Bank Transfer,Jaipur,
T00347,U144,2024-07-15,Expense,Food,3986.0,UPI,Hyderabad,
T00348,U121,2024-07-15,Income,Freelance,67091.0,UPI,Ahmedabad,
T00349,U093,2024-08-15,Income,Freelance,33899.0,UPI,Delhi,
T00350,U067,2024-08-15,Expense,Utilities,1173.0,UPI,Hyderabad,
T00351,U048,2024-08-15,Expense,Rent,7186.0,Other,Bangalore,
T00352,U063,2024-08-15,Expense,Education,9378.0,Card,Mumbai,
T00353,U034,2024-09-15,Expense,Traval,7543.0,Other,Jaipur,
T00354,U112,2024-09-15,Expense,Health,2513.0,Other,Lucknow,
T00355,U015,2024-09-15,Expense,Food,2508.0,Card,Jaipur,
T00356,U077,2024-10-15,Expense,Traval,4701.0,Cash,Unknown,
T00357,U073,2024-10-15,Income,Investment,54771.0,Bank Transfer,Hyderabad,
T00358,U093,2024-10-15,Expense,Entertainment,8765.0,Bank Transfer,Kolkata,
T00359,U123,2024-11-15,Expense,Food,4648.0,Cash,Delhi,
T00360,U050,2024-11-15,Expense,Food,3212.0,Cash,Bangalore,
T00361,U102,2024-12-15,Expense,Rent,2092.0,UPI,Pune,
T00362,U099,2024-12-15,Expense,Health,9384.0,UPI,Jaipur,
T00363,U052,2021-01-15,Expense,Travel,1000.0,Card,Chennai,
T00364,U057,2021-01-15,Expense,Rent,7762.0,Cash,Bangalore,
T00365,U004,2021-01-15,Expense,Rent,3753.0,Bank Transfer,Unknown,
T00366,U122,2021-01-15,Income,Bonus,79079.0,Other,Delhi,
T00367,U070,2021-02-15,Expense,Food,7406.0,Card,Bangalore,
T00368,U121,2021-03-15,Expense,Food,917.0,Cash,Jaipur,
